carat,depth,table,pricerange,x,y,z
0.51,61.5,58.0,1,5.14,5.11,3.15
0.58,61.2,56.0,1,5.37,5.41,3.3
1.05,60.5,55.0,2,6.67,6.58,4.01
0.51,62.4,55.0,1,5.11,5.14,3.2
1.59,60.7,61.1,2,7.5,7.56,4.57
0.73,62.1,56.0,2,5.77,5.8,3.59
0.42,62.0,55.0,1,4.84,4.83,3.0
1.5,63.9,60.0,2,7.17,7.22,4.6
1.06,61.2,55.0,2,6.61,6.57,4.03
0.4,62.4,54.0,1,4.73,4.76,2.96
0.56,61.2,54.0,1,5.36,5.32,3.27
0.58,62.1,56.0,1,5.33,5.37,3.32
0.71,61.2,55.0,2,5.73,5.84,3.54
0.53,62.2,55.0,1,5.17,5.22,3.23
1.5,61.0,57.0,3,7.32,7.4,4.49
0.27,58.6,57.0,1,4.3,4.33,2.53
1.1,59.7,57.8,2,6.7,6.76,4.01
1.07,60.0,59.0,2,6.6,6.56,3.95
1.2,61.8,56.0,2,6.81,6.85,4.22
2.02,56.2,61.0,3,8.8,8.33,4.81
0.37,61.9,55.0,1,4.63,4.67,2.87
0.54,61.2,55.0,1,5.23,5.29,3.22
0.71,62.9,57.0,1,5.68,5.7,3.58
1.67,62.4,54.0,2,7.6,7.63,4.75
0.43,60.8,59.0,1,4.91,4.86,2.97
0.51,60.1,59.0,1,5.19,5.16,3.11
1.27,60.9,57.0,2,7.02,6.97,4.26
0.55,61.4,55.0,1,5.28,5.24,3.23
0.35,62.1,57.0,1,4.55,4.53,2.82
0.54,61.4,57.5,2,5.25,5.28,3.23
1.03,57.9,59.0,1,6.67,6.62,3.85
1.09,61.1,59.0,2,6.69,6.63,4.07
2.31,62.1,58.0,3,8.49,8.42,5.25
0.31,62.2,55.0,1,4.35,4.37,2.71
0.34,61.9,57.0,1,4.48,4.44,2.76
1.03,65.7,58.0,2,6.32,6.26,4.13
0.54,57.5,61.0,1,5.47,5.39,3.12
0.5,61.2,56.0,1,5.13,5.17,3.15
0.54,63.3,57.0,1,5.15,5.22,3.28
1.01,62.2,59.0,2,6.44,6.35,3.98
0.32,62.8,60.0,1,4.32,4.34,2.72
0.3,60.4,61.0,1,4.3,4.34,2.61
1.5,61.2,59.0,2,7.36,7.41,4.52
1.01,64.5,58.0,2,6.27,6.31,4.06
0.4,61.9,57.0,1,4.71,4.69,2.91
0.71,60.0,64.0,1,5.79,5.71,3.45
0.5,62.0,59.0,1,5.1,5.06,3.15
0.74,61.9,55.0,2,5.79,5.84,3.6
0.71,61.9,58.0,1,5.66,5.69,3.51
0.65,61.6,57.0,1,5.55,5.59,3.43
0.57,62.1,55.0,1,5.32,5.34,3.31
0.3,61.1,56.0,1,4.36,4.38,2.67
0.7,62.5,62.0,1,5.58,5.56,3.48
1.51,60.7,58.0,2,7.41,7.38,4.49
0.41,62.2,57.0,1,4.74,4.78,2.96
0.38,61.6,58.0,1,4.63,4.66,2.86
0.83,62.1,58.0,2,6.01,6.04,3.74
0.3,62.9,56.0,1,4.25,4.3,2.69
1.03,61.9,58.0,2,6.49,6.43,4.0
1.01,62.1,60.0,2,6.4,6.44,3.99
0.7,63.5,59.0,1,5.53,5.49,3.5
0.65,61.5,55.0,1,5.59,5.63,3.45
0.27,62.5,56.0,1,4.15,4.18,2.6
0.52,62.8,58.0,1,5.11,5.14,3.22
0.3,63.0,56.0,1,4.24,4.27,2.68
1.0,62.7,62.0,2,6.23,6.21,3.9
0.7,61.9,58.0,1,5.64,5.6,3.48
0.32,63.1,57.0,1,4.37,4.38,2.76
1.03,62.4,57.0,2,6.52,6.47,4.05
0.3,61.2,57.0,1,4.32,4.34,2.65
0.3,61.9,59.0,1,4.3,4.32,2.67
1.02,62.4,58.0,2,6.37,6.42,3.99
1.01,62.2,58.0,2,6.36,6.4,3.97
0.31,61.3,56.0,1,4.38,4.4,2.69
1.16,62.2,58.0,2,6.75,6.68,4.18
0.27,60.8,56.0,1,4.25,4.23,2.58
2.04,61.4,59.0,3,8.04,8.14,4.97
0.76,60.9,58.0,1,5.9,5.85,3.58
1.04,62.5,62.0,2,6.39,6.45,4.01
1.55,61.8,55.0,2,7.4,7.44,4.58
0.31,62.6,57.0,1,4.27,4.35,2.7
0.41,59.7,59.0,1,4.84,4.81,2.88
0.7,60.9,61.0,1,5.66,5.71,3.46
0.71,62.9,58.0,1,5.62,5.66,3.55
1.6,61.1,57.0,2,7.55,7.5,4.6
0.53,60.0,57.0,1,5.3,5.27,3.17
1.38,61.2,59.0,2,7.19,7.13,4.38
0.7,62.8,60.0,1,5.66,5.68,3.56
0.35,62.5,57.0,1,4.48,4.54,2.82
0.73,58.9,60.0,1,5.9,5.81,3.45
1.33,62.2,54.0,3,7.02,7.06,4.38
1.55,62.4,58.0,2,7.38,7.4,4.61
0.34,61.3,55.0,1,4.54,4.56,2.79
0.24,62.1,59.0,1,3.98,4.01,2.48
0.23,63.8,55.0,1,3.85,3.92,2.48
0.35,61.3,56.0,1,4.56,4.54,2.79
0.72,61.4,56.0,2,5.8,5.82,3.57
0.41,62.5,57.0,1,4.72,4.69,2.94
2.03,62.1,56.0,3,8.2,8.12,5.07
0.91,62.0,62.0,2,6.25,6.16,3.85
1.0,63.5,54.0,2,6.41,6.35,4.05
1.26,60.6,60.0,2,6.97,7.0,4.23
1.01,64.2,54.0,2,6.24,6.31,4.03
0.31,58.1,60.0,1,4.49,4.42,2.59
0.7,63.1,56.0,2,5.64,5.67,3.57
0.55,63.3,56.0,1,5.21,5.24,3.31
1.15,63.5,58.0,2,6.73,6.69,4.26
1.2,62.7,55.0,2,6.74,6.69,4.21
0.72,60.2,59.0,1,5.85,5.81,3.51
0.32,61.8,55.0,1,4.38,4.42,2.72
1.4,62.9,55.0,2,7.15,7.06,4.47
0.7,61.4,57.0,1,5.73,5.77,3.53
0.3,58.8,57.0,1,4.44,4.4,2.6
0.37,62.4,56.0,1,4.6,4.64,2.88
1.2,62.9,60.0,2,6.64,6.69,4.19
0.51,62.9,57.0,1,5.09,5.12,3.21
0.74,60.6,60.0,1,5.89,5.8,3.54
0.3,58.1,61.0,1,4.41,4.47,2.58
0.51,62.0,56.0,1,5.11,5.14,3.18
1.5,63.6,58.0,2,7.23,7.2,4.59
0.91,62.2,56.0,2,6.14,6.17,3.83
1.01,63.3,57.0,2,6.31,6.36,4.01
0.51,62.6,57.0,1,5.1,5.15,3.21
1.6,61.5,56.0,2,7.57,7.52,4.64
1.5,58.9,59.0,2,7.34,7.43,4.35
0.31,61.0,56.0,1,4.39,4.43,2.69
0.33,61.4,58.0,1,4.49,4.44,2.74
0.34,60.8,59.0,1,4.53,4.48,2.74
2.46,59.7,59.0,2,8.82,8.76,5.25
1.22,61.7,57.0,2,6.85,6.82,4.22
1.05,59.7,60.0,2,6.63,6.71,3.98
0.4,61.6,56.0,1,4.75,4.76,2.93
0.57,61.6,57.0,1,5.37,5.34,3.3
1.24,65.7,57.0,2,6.72,6.68,4.4
0.7,57.2,66.0,1,5.76,5.74,3.29
0.41,61.4,56.0,1,4.81,4.83,2.96
0.58,60.9,56.0,1,5.42,5.39,3.29
1.2,62.5,57.0,2,6.73,6.84,4.24
1.09,62.5,58.0,2,6.49,6.59,4.09
0.58,62.9,57.0,1,5.3,5.35,3.35
0.72,62.5,58.0,1,5.68,5.72,3.56
1.82,61.6,60.0,3,7.78,7.74,4.78
0.45,58.6,62.2,1,5.0,5.05,2.95
1.15,61.5,58.0,2,6.76,6.71,4.14
2.27,61.1,60.0,3,8.46,8.42,5.16
0.8,61.6,56.0,1,5.97,6.01,3.69
0.6,60.8,58.0,1,5.46,5.5,3.33
0.31,61.6,54.0,1,4.37,4.4,2.7
0.4,62.3,56.0,1,4.73,4.71,2.94
0.34,61.7,56.0,1,4.48,4.46,2.76
0.41,61.4,57.0,1,4.76,4.79,2.93
0.78,62.7,56.0,1,5.87,5.84,3.67
0.24,62.0,56.0,1,3.99,4.03,2.48
0.44,61.1,56.0,1,4.92,4.94,3.01
0.31,62.2,53.0,1,4.36,4.38,2.72
0.71,62.3,61.0,1,5.65,5.61,3.51
0.9,64.3,57.0,2,6.16,6.06,3.93
0.53,61.8,58.0,1,5.18,5.2,3.21
0.31,61.4,55.0,1,4.34,4.32,2.66
0.51,61.9,55.0,1,5.15,5.19,3.2
0.32,62.3,54.0,1,4.37,4.4,2.73
1.26,60.2,59.0,2,6.98,7.07,4.23
0.31,62.2,56.0,1,4.37,4.34,2.71
0.83,61.9,56.0,1,6.04,5.97,3.72
0.73,63.0,57.0,1,5.75,5.67,3.6
0.54,61.4,60.0,1,5.21,5.25,3.21
0.41,59.8,60.0,1,4.86,4.79,2.88
1.71,62.1,54.0,2,7.72,7.67,4.78
2.01,61.4,56.0,3,8.19,8.13,5.01
0.32,60.9,56.0,1,4.45,4.41,2.7
0.31,61.9,58.0,1,4.33,4.36,2.69
1.02,62.5,59.0,2,6.37,6.42,4.0
1.08,59.7,60.0,2,6.71,6.69,4.0
0.5,59.8,66.0,1,5.18,5.09,3.07
2.0,59.8,68.0,3,8.13,7.95,4.81
1.02,60.3,63.0,2,6.45,6.49,3.9
0.3,61.4,56.0,1,4.32,4.35,2.66
0.53,63.0,56.0,1,5.19,5.13,3.25
0.9,61.5,59.0,2,6.15,6.2,3.8
1.11,62.0,56.0,2,6.62,6.65,4.12
0.46,61.7,56.0,1,4.93,4.96,3.05
0.39,61.5,55.0,1,4.7,4.73,2.9
0.78,60.6,57.0,2,5.95,5.97,3.61
0.3,62.1,61.0,1,4.3,4.27,2.66
0.31,60.7,57.0,1,4.4,4.37,2.66
0.7,61.4,57.0,1,5.71,5.74,3.52
0.9,64.7,54.0,2,6.1,6.04,3.93
0.91,62.0,60.0,2,6.23,6.19,3.85
0.55,61.2,54.0,2,5.3,5.35,3.26
1.92,62.5,59.0,3,7.85,7.92,4.93
0.96,66.9,60.0,1,6.15,6.04,4.09
1.24,61.7,53.0,2,6.93,6.9,4.27
1.01,62.7,55.0,2,6.4,6.45,4.03
1.0,63.1,56.0,2,6.34,6.3,3.99
0.3,61.8,56.0,1,4.33,4.35,2.68
0.34,61.2,59.0,1,4.49,4.53,2.76
1.2,60.7,60.0,2,6.8,6.84,4.14
0.41,61.6,57.0,1,4.77,4.81,2.95
0.3,62.2,57.0,1,4.31,4.27,2.67
1.01,59.5,59.0,2,6.54,6.58,3.9
1.01,63.5,60.0,2,6.41,6.38,3.92
0.31,61.7,54.0,1,4.38,4.43,2.72
1.26,59.5,59.0,2,7.13,7.06,4.22
2.04,58.0,59.0,3,8.4,8.27,4.83
1.73,58.0,62.0,3,7.95,7.91,4.6
0.4,63.5,57.0,1,4.72,4.7,2.99
0.55,62.2,60.0,1,5.2,5.25,3.25
0.3,63.3,59.0,1,4.28,4.22,2.69
0.51,62.3,54.0,1,5.17,5.12,3.21
0.8,62.7,55.0,1,5.94,5.9,3.71
0.71,64.1,60.0,1,0.0,0.0,0.0
0.3,62.2,57.0,1,4.26,4.32,2.67
0.55,61.3,56.0,1,5.26,5.31,3.24
1.08,62.3,57.0,2,6.56,6.61,4.1
0.97,59.9,59.0,2,6.39,6.36,3.82
1.57,58.6,62.0,2,7.71,7.64,4.5
1.07,62.9,59.0,2,6.51,6.58,4.12
0.4,61.2,57.0,1,4.73,4.78,2.91
0.32,61.9,55.0,1,4.37,4.38,2.71
0.43,61.5,57.0,1,4.84,4.87,2.98
0.57,59.8,60.0,1,5.4,5.34,3.21
2.0,60.5,60.0,3,8.03,8.08,4.87
0.72,61.9,54.0,1,5.78,5.81,3.59
1.64,60.6,59.0,2,7.67,7.61,4.63
0.97,61.0,59.0,2,6.36,6.4,3.89
0.4,63.1,62.0,1,4.75,4.66,2.97
0.93,62.3,56.0,2,6.26,6.22,3.89
0.53,60.9,59.0,1,5.21,5.23,3.18
1.39,62.1,57.0,2,7.22,7.08,4.44
0.7,60.9,62.0,1,5.67,5.72,3.47
2.01,59.7,63.0,3,8.24,8.15,4.89
0.35,62.8,54.0,1,4.5,4.54,2.84
0.9,60.7,59.0,2,6.23,6.26,3.79
1.51,60.9,59.0,2,7.33,7.41,4.49
0.52,62.0,55.0,1,5.19,5.17,3.21
0.32,61.9,55.0,1,4.41,4.4,2.73
0.52,60.6,61.0,1,5.19,5.17,3.14
0.76,61.9,57.0,1,5.87,5.9,3.64
1.86,62.5,55.0,2,7.81,7.9,4.91
1.11,61.8,58.0,2,6.66,6.61,4.1
0.51,61.7,58.0,1,5.18,5.13,3.18
2.01,60.6,62.0,3,8.08,8.05,4.89
0.3,61.0,57.0,1,4.33,4.36,2.65
2.18,58.9,60.0,3,8.51,8.55,5.02
1.69,63.8,56.0,3,7.51,7.57,4.81
1.5,62.5,55.0,3,7.26,7.23,4.53
0.33,61.7,57.0,1,4.41,4.44,2.73
1.31,59.3,59.0,2,7.18,7.13,4.24
0.33,62.5,56.0,1,4.46,4.43,2.78
0.9,57.1,56.0,2,6.33,6.28,3.6
0.3,61.0,59.0,1,4.33,4.29,2.63
0.31,62.3,55.0,1,4.37,4.33,2.71
0.71,60.6,58.0,2,5.76,5.79,3.5
0.93,63.3,61.0,2,6.19,6.14,3.9
2.11,61.0,58.0,3,8.2,8.29,5.03
1.58,62.3,57.0,2,7.42,7.34,4.6
2.48,60.1,58.0,3,8.83,8.76,5.29
0.42,61.3,56.0,1,4.81,4.85,2.96
0.9,60.8,57.0,2,6.26,6.17,3.78
0.41,63.1,58.0,1,4.71,4.74,2.98
0.36,59.7,56.0,1,4.64,4.67,2.78
0.3,61.8,53.0,1,4.32,4.36,2.68
0.7,64.0,57.0,1,5.62,5.54,3.57
0.77,62.0,56.0,1,5.89,5.86,3.64
0.5,61.4,61.0,1,5.03,5.04,3.09
1.18,60.8,57.0,2,6.89,6.83,4.17
0.27,61.8,56.0,1,4.19,4.2,2.6
0.31,61.5,59.0,1,4.35,4.33,2.67
0.3,60.6,56.0,1,4.35,4.36,2.64
1.17,62.4,58.0,2,6.73,6.71,4.19
0.6,62.2,55.0,1,5.41,5.45,3.38
0.53,63.8,58.0,1,5.12,5.17,3.28
0.3,62.6,56.0,1,4.25,4.28,2.67
1.61,59.4,58.0,2,7.64,7.74,4.57
0.3,62.1,54.0,1,4.32,4.35,2.69
1.13,61.8,56.0,2,6.74,6.68,4.15
0.71,60.8,56.0,2,5.81,5.82,3.54
1.01,59.1,61.0,2,6.46,6.5,3.83
0.24,62.2,59.0,1,3.99,4.02,2.49
0.3,61.0,60.0,1,4.29,4.33,2.63
0.5,60.6,59.0,1,5.1,5.2,3.12
0.83,63.8,58.0,1,5.97,5.95,3.8
0.53,57.6,64.0,1,5.41,5.36,3.1
0.5,61.5,62.0,1,5.06,5.09,3.12
0.47,62.8,56.0,1,4.96,4.93,3.11
0.91,63.8,58.0,2,6.09,6.04,3.87
0.3,62.1,59.0,1,4.27,4.29,2.66
0.93,62.0,57.0,1,6.22,6.26,3.87
0.71,60.3,60.0,1,5.76,5.79,3.48
0.55,63.6,55.0,1,5.18,5.23,3.31
0.41,61.9,56.0,1,4.75,4.78,2.95
2.23,61.0,58.0,3,8.39,8.36,5.11
1.3,60.9,60.0,2,6.99,7.04,4.27
0.4,63.2,55.0,1,4.72,4.68,2.97
1.07,62.2,57.0,2,6.55,6.53,4.07
1.07,61.3,59.0,2,6.61,6.53,4.03
1.01,62.2,59.0,2,6.38,6.42,3.98
1.12,63.8,55.0,2,6.57,6.63,4.21
0.51,62.4,57.0,1,5.13,5.09,3.19
0.32,62.1,55.0,1,4.43,4.4,2.74
1.63,61.5,57.0,3,7.58,7.6,4.67
1.51,58.8,62.0,2,7.5,7.41,4.39
0.32,62.6,57.0,1,4.41,4.37,2.75
0.33,61.1,58.0,1,4.47,4.43,2.72
1.68,60.4,55.0,2,7.79,7.7,4.68
0.5,62.2,55.0,1,5.07,5.09,3.16
0.3,60.2,56.0,1,4.4,4.37,2.64
1.0,63.5,59.0,2,6.34,6.29,4.01
0.5,62.2,56.0,1,5.1,5.13,3.18
1.01,59.9,59.0,2,6.52,6.57,3.92
0.72,61.5,56.0,1,5.72,5.79,3.54
0.3,60.6,57.0,1,4.35,4.33,2.63
0.76,61.9,56.0,1,5.85,5.88,3.63
0.29,62.1,59.0,1,4.22,4.25,2.63
0.85,62.5,57.0,1,6.02,6.07,3.78
1.0,62.9,55.0,2,6.29,6.36,3.98
0.76,61.3,56.0,1,5.9,5.94,3.63
0.32,62.4,54.0,1,4.36,4.39,2.73
0.31,59.3,60.0,1,4.41,4.39,2.61
0.31,61.7,57.0,1,4.34,4.32,2.67
0.67,60.4,65.0,1,5.67,5.65,3.42
1.01,61.2,56.0,2,6.41,6.46,3.94
1.01,67.1,59.0,2,6.16,6.09,4.11
0.92,62.4,60.0,2,6.21,6.25,3.89
0.54,63.2,55.0,1,5.21,5.17,3.28
0.31,62.4,57.0,1,4.31,4.34,2.7
0.31,63.4,55.0,1,4.29,4.26,2.71
0.31,62.4,58.0,1,4.32,4.36,2.71
0.3,63.4,59.0,1,4.23,4.25,2.69
0.3,62.5,54.0,1,4.31,4.33,2.7
0.51,62.6,60.0,1,5.13,5.06,3.2
0.91,62.0,56.0,2,6.19,6.22,3.85
0.76,61.0,58.0,2,5.88,5.93,3.6
1.57,63.4,56.0,2,7.46,7.4,4.71
1.0,60.6,58.0,2,6.47,6.4,3.9
0.83,65.1,59.0,1,5.84,5.81,3.79
1.02,62.0,56.0,2,6.42,6.45,3.99
0.71,61.6,56.0,1,5.71,5.75,3.53
0.95,59.5,56.0,2,6.41,6.36,3.8
1.01,63.3,58.0,2,6.37,6.39,4.04
0.74,61.2,59.0,1,5.88,5.82,3.58
1.36,62.7,60.0,2,7.05,7.02,4.41
1.0,62.8,57.0,2,6.37,6.34,3.99
1.27,61.2,56.0,2,6.99,6.95,4.27
1.66,64.4,54.0,2,7.45,7.54,4.83
1.25,62.5,56.0,2,6.87,6.92,4.31
0.72,61.7,55.0,2,5.8,5.77,3.57
0.3,61.8,56.0,1,4.31,4.3,2.66
0.56,61.7,56.0,1,5.3,5.33,3.28
1.11,63.1,57.0,2,6.59,6.54,4.14
0.56,61.7,54.0,1,5.31,5.36,3.29
1.0,63.1,63.0,2,6.33,6.23,3.96
0.52,61.4,57.0,1,5.17,5.19,3.18
0.69,61.5,61.0,2,5.61,5.65,3.46
0.32,62.6,57.0,1,4.38,4.34,2.73
0.71,61.7,56.0,2,5.71,5.74,3.53
0.3,61.7,58.0,1,4.26,4.3,2.64
1.0,62.8,59.0,2,6.4,6.3,3.99
0.33,61.9,55.0,1,4.45,4.5,2.77
0.32,61.8,55.0,1,4.45,4.39,2.73
1.5,62.0,57.0,2,7.25,7.33,4.52
0.52,62.4,55.0,1,5.1,5.12,3.19
1.0,59.6,60.0,2,6.52,6.57,3.9
0.43,60.5,59.0,1,4.86,4.89,2.95
0.53,61.0,55.0,1,5.21,5.32,3.21
0.37,60.6,54.0,1,4.68,4.63,2.82
0.49,61.9,56.0,1,5.05,5.1,3.14
0.88,60.9,61.0,2,6.16,6.13,3.74
1.2,62.6,59.0,2,6.71,6.75,4.21
0.35,61.2,58.0,1,4.53,4.59,2.79
2.02,59.8,60.0,3,8.21,8.16,4.9
1.01,62.5,62.0,2,6.26,6.34,3.94
0.81,61.7,61.0,1,5.94,5.9,3.65
1.04,61.8,57.0,3,6.49,6.52,4.02
0.71,61.5,57.0,2,5.74,5.78,3.54
1.01,61.0,60.0,2,6.48,6.44,3.94
0.31,61.7,58.0,1,4.32,4.37,2.68
1.0,65.7,59.0,1,6.14,6.07,4.01
1.08,62.4,55.0,2,6.53,6.57,4.09
1.42,61.7,56.0,2,7.22,7.27,4.47
1.77,60.3,59.0,2,7.94,7.87,4.77
0.91,62.3,55.0,2,6.17,6.22,3.86
0.93,61.5,57.0,2,6.3,6.26,3.86
0.23,61.9,58.0,1,3.94,3.98,2.45
1.03,63.7,60.0,2,6.35,6.28,4.02
0.32,61.8,55.0,1,4.45,4.42,2.74
0.51,61.3,56.0,1,5.15,5.19,3.16
0.71,63.1,56.0,1,5.73,5.68,3.6
0.4,61.3,56.0,1,4.76,4.79,2.93
1.52,62.6,59.0,2,7.36,7.27,4.58
0.38,61.8,56.0,1,4.64,4.65,2.87
1.13,62.3,59.0,2,6.68,6.65,4.15
1.05,61.6,54.0,2,6.54,6.58,4.04
0.9,65.0,61.0,2,6.05,6.02,3.92
0.32,62.2,56.0,1,4.41,4.37,2.73
1.61,61.7,60.0,2,7.45,7.5,4.61
2.52,61.5,56.0,3,8.76,8.69,5.37
0.42,62.2,55.0,1,4.75,4.8,2.97
0.9,61.0,60.0,2,6.21,6.24,3.8
0.43,61.9,53.0,1,4.86,4.89,3.02
0.7,65.8,58.0,1,5.49,5.42,3.59
1.08,62.9,59.0,2,6.44,6.53,4.08
1.0,59.9,60.0,2,6.5,6.46,3.88
0.31,60.2,56.0,1,4.44,4.39,2.66
0.3,61.5,62.0,1,4.28,4.34,2.65
1.1,60.2,56.0,2,6.7,6.74,4.05
0.5,63.0,57.0,1,5.01,5.05,3.17
0.31,63.1,56.0,1,4.33,4.35,2.74
1.51,62.5,58.0,3,7.36,7.21,4.55
0.3,62.0,57.0,1,4.29,4.32,2.67
0.33,62.3,56.0,1,4.47,4.46,2.78
0.38,62.2,54.1,1,4.64,4.67,2.89
1.5,60.1,59.0,2,7.38,7.36,4.43
0.34,61.5,55.0,1,4.58,4.49,2.79
1.01,60.7,57.0,2,6.52,6.49,3.95
0.6,61.1,56.0,1,5.47,5.49,3.35
0.3,61.4,59.0,1,4.33,4.3,2.65
1.01,60.6,61.0,2,6.35,6.39,3.86
0.7,61.3,59.0,1,5.68,5.74,3.5
0.41,61.3,56.0,1,4.81,4.84,2.96
0.34,61.2,59.0,1,4.46,4.5,2.74
0.33,62.0,53.5,1,4.46,4.5,2.78
0.33,61.9,56.0,1,4.44,4.48,2.76
0.41,61.0,56.0,1,4.78,4.82,2.93
0.9,65.8,54.0,1,6.05,5.98,3.96
1.75,62.1,56.0,3,7.72,7.69,4.79
1.03,60.4,56.0,2,6.59,6.56,3.97
0.3,61.7,57.0,1,4.3,4.32,2.66
0.35,61.7,54.0,1,4.56,4.58,2.82
0.57,60.5,57.0,1,5.33,5.38,3.24
0.54,63.2,57.0,1,5.16,5.19,3.27
0.41,62.7,59.0,1,4.75,4.78,2.99
0.35,62.4,55.0,1,4.52,4.49,2.81
1.02,60.5,56.0,2,6.57,6.53,3.96
0.34,62.9,56.0,1,4.48,4.45,2.81
0.31,62.4,55.0,1,4.33,4.36,2.71
0.55,61.5,60.0,1,5.23,5.25,3.22
1.06,61.6,59.0,2,6.54,6.55,4.03
1.2,62.2,59.0,2,6.82,6.78,4.23
0.23,59.4,59.0,1,4.03,4.08,2.41
0.7,62.4,55.0,1,5.66,5.72,3.55
1.51,64.0,60.0,2,7.1,7.19,4.57
1.01,62.9,57.0,2,6.35,6.41,4.01
0.3,61.6,58.0,1,4.28,4.32,2.65
1.21,62.6,59.0,2,6.72,6.79,4.23
0.46,62.5,56.0,1,4.89,4.93,3.07
1.02,62.7,58.0,2,6.36,6.4,4.0
0.71,62.3,60.0,1,5.69,5.73,3.56
1.12,62.2,54.0,2,6.65,6.7,4.15
